11 0.30
18 0.74
15 0.88
20 0.78
54 3.14
368 13.08
375 15.90
164 13.17
238 8.22
64 5.05
159 3.19
136 3.05
126 5.1
333 6.1
243 4.9
424 4.8
378 5.0
257 5.3
178 6.6
260 9.6
302 10.0
378 12.4
331 10.6
817 12.6
421 13.3
1215 20.5
749 34.5
2535 104.0
3331 116.4
2388 129.3
1594 84.6
2049 96.4
1726 128.3
1787 125.5
2414 198.5
5643 955.0
5293 740.3
5905 814.6
7461 568.2
8000 482.8
8016 459.0
6215 646.5
9923 650.8
4911 594.9
8396 485.8
9710 383.0
2519 327.2
8416 377.6
2979 313.9
7155 229
6391 262.4
14821 246.9 
13365 231.8
12206 222
